Date,Product Id,Country,Product Category,Cost Price,Sale Price,Quantity,Cost Price Value,Sales Price Value,Discount,Final Sales Price,Profit
2017-01-01,7,United States,Elite,95,165,25,2375,4125,0.1,3713,1338
2017-01-02,5,United Kingdom,Standard,75,145,30,2250,4350,0,4350,2100
2017-01-03,3,Singapore,Standard,40,100,25,1000,2500,0,2500,1500
2017-01-04,9,India,Premium,125,230,34,4375,8050,0,8050,3675
2017-01-05,4,United States,Standard,50,95,30,1500,2850,0,2850,1350
2017-01-06,1,Canada,Standard,60,100,35,2100,3500,0.1,3150,1050
2017-01-07,5,Canada,Standard,75,145,30,2250,4350,0,4350,2100
2017-01-08,7,United States,Elite,95,165,45,4275,7425,0.05,7054,2779
2017-01-09,8,United States,Premium,110,220,45,4950,9900,0.35,6435,1485
2017-01-10,6,Canada,Elite,100,190,25,2500,4750,0.1,4275,1775
2017-01-11,9,Canada,Premium,125,230,40,5000,9200,0,9200,4200
2017-01-12,9,Singapore,Premium,125,230,35,4375,8050,0.35,5233,858
2017-01-13,9,United States,Premium,125,230,30,3750,6900,0.25,5175,1425
2017-01-14,3,Singapore,Standard,40,100,30,1200,3000,0.05,2850,1650
2017-01-15,9,Italy,Premium,125,230,45,5625,10350,0.35,6728,1103
2017-01-16,9,United Kingdom,Premium,125,230,40,5000,9200,0.1,8280,3280
2017-01-17,2,United States,Standard,80,135,45,3600,6075,0.05,5771,2172
2017-01-18,6,United Kingdom,Elite,100,190,30,3000,5700,0.35,3705,705
2017-01-19,2,Malaysia,Standard,80,135,25,2000,3375,0,3375,1375
2017-01-20,7,United States,Elite,95,165,25,2375,4125,0.05,3919,1544
2017-01-21,3,United States,Standard,40,100,35,1400,3500,0.25,2625,1225
2017-01-22,7,United States,Elite,95,165,30,2850,4950,0,4950,2100
2017-01-23,3,United States,Standard,40,100,25,1000,2500,0,2500,1500
2017-01-24,2,Singapore,Standard,80,135,30,2400,4050,0,4050,1650
2017-01-25,3,Netherlands,Standard,40,100,25,1000,2500,0.35,1625,625
2017-01-26,9,United States,Premium,125,230,35,4375,8050,0.35,5233,858
2017-01-27,1,Canada,Standard,60,100,25,1500,2500,0.1,2250,750
2017-01-28,9,Netherlands,Premium,125,230,30,3750,6900,0,6900,3150
2017-01-29,5,Canada,Standard,75,145,30,2250,4350,0.05,4133,1883
2017-01-30,1,Netherlands,Standard,60,100,35,2100,3500,0,3500,1400
2017-01-31,9,United States,Premium,125,230,35,4375,8050,0,8050,3675
2017-02-01,9,United Kingdom,Premium,125,230,45,5625,10350,0,10350,4725
2017-02-02,9,United States,Premium,125,230,25,3125,5750,0.35,3738,613
